year,Skin
1800,6.825395217902042e-07
1801,6.405670546882903e-07
1802,7.022380259513739e-07
1803,8.778083935924639e-07
1804,9.892218518611377e-07
1805,1.0518132366347084e-06
1806,1.018358935717905e-06
1807,9.688330026490024e-07
1808,1.1220151593858776e-06
1809,1.0420300335616567e-06
1810,9.181558319986445e-07
1811,8.33021419209347e-07
1812,7.974513818810789e-07
1813,8.61115296402204e-07
1814,9.551272138911112e-07
1815,8.137002193312323e-07
1816,9.153980045084609e-07
1817,8.697377406211412e-07
1818,9.192641527988599e-07
1819,9.140895014882387e-07
1820,9.359445454850044e-07
1821,9.822942144767564e-07
1822,1.1372183865075515e-06
1823,1.1437811216248e-06
1824,1.1661474559332419e-06
1825,1.1628770916364114e-06
1826,1.1703418506060968e-06
1827,1.1335587665988506e-06
1828,1.099299286774372e-06
1829,1.0109323105617868e-06
1830,1.113046380396554e-06
1831,1.1021665094241534e-06
1832,1.1246994355522993e-06
1833,1.1636929246248786e-06
1834,1.1988179348268853e-06
1835,1.1057395811673944e-06
1836,1.0803827957975694e-06
1837,9.487111388547678e-07
1838,9.363850332582453e-07
1839,9.88787389490296e-07
1840,9.994511011817458e-07
1841,1.0004330956040316e-06
1842,1.3530321244356206e-06
1843,1.780716364204896e-06
1844,2.1892913163615698e-06
1845,2.4755636656794067e-06
1846,2.6900746661340236e-06
1847,2.753045854270957e-06
1848,2.8852616813830016e-06
1849,2.824040182401534e-06
1850,2.5235907189978335e-06
1851,2.2201669155817527e-06
1852,2.1815659465573844e-06
1853,2.147631334992184e-06
1854,2.428225960621993e-06
1855,2.4632422212432303e-06
1856,2.672625799147811e-06
1857,2.8683613371478193e-06
1858,3.0142639713761e-06
1859,3.1212777815069004e-06
1860,3.0368935962802164e-06
1861,2.7794714826865985e-06
1862,2.974675973226632e-06
1863,2.7378277341735417e-06
1864,2.6048116654107744e-06
1865,2.568511782945799e-06
1866,2.6468360374565236e-06
1867,2.7665401570889766e-06
1868,2.905628077444687e-06
1869,2.8180062534894593e-06
1870,2.7631313384647782e-06
1871,2.8012424796283345e-06
1872,2.7837211941264935e-06
1873,2.8156210386701526e-06
1874,2.7829661186323003e-06
1875,2.9827880812912814e-06
1876,3.0520132310942117e-06
1877,3.1437620821504552e-06
1878,3.2071262207214853e-06
1879,3.308549529330256e-06
1880,3.3111998618551297e-06
1881,3.349776469414272e-06
1882,3.2145532843839774e-06
1883,3.1042550290294457e-06
1884,3.167683969097977e-06
1885,3.1403610267131754e-06
1886,3.2048952951819435e-06
1887,3.060153501012662e-06
1888,3.0848020742269e-06
1889,3.055194741006874e-06
1890,3.0583898608581095e-06
1891,3.0357554611068087e-06
1892,3.0594543594426275e-06
1893,3.0065329091095398e-06
1894,2.951112622083331e-06
1895,2.9170853719863643e-06
1896,2.8332360670901835e-06
1897,2.8650815043615045e-06
1898,2.8269621452636784e-06
1899,2.81340619169766e-06
1900,2.7889625796108575e-06
1901,2.8353899779176572e-06
1902,2.8428561823342794e-06
1903,2.892685155789617e-06
1904,3.1374053313421816e-06
1905,3.1302486474617453e-06
1906,3.3810573053675138e-06
1907,3.296158281175719e-06
1908,3.222891369400064e-06
1909,3.1491365786808146e-06
1910,3.1272693701924126e-06
1911,2.819612908362095e-06
1912,2.7922666439345837e-06
1913,2.5185439491386726e-06
1914,2.503117392344783e-06
1915,2.5189116123718643e-06
1916,2.4932285863802202e-06
1917,2.5634167611445136e-06
1918,2.668380212916028e-06
1919,2.7488351536573774e-06
1920,2.7249914182903012e-06
1921,2.7794522858520006e-06
1922,2.78881631337364e-06
1923,2.8867913053025925e-06
1924,2.873899510242544e-06
1925,2.8516871809967725e-06
1926,2.7989197925697747e-06
1927,2.8716657262910824e-06
1928,2.917536416394536e-06
1929,2.9980459268179923e-06
1930,3.004785315040083e-06
1931,3.062002081475969e-06
1932,3.074953318511169e-06
1933,3.128556467605189e-06
1934,3.1477198133091278e-06
1935,3.1882932164860122e-06
1936,3.2024812039058555e-06
1937,3.155613122934093e-06
1938,3.091703320023953e-06
1939,3.5389285000876825e-06
1940,3.5479457502723174e-06
1941,3.616915526955771e-06
1942,3.597450326456705e-06
1943,3.584603324010719e-06
1944,3.5953727482202728e-06
1945,3.617915386452556e-06
1946,3.12059913604961e-06
1947,3.1154119304639087e-06
1948,3.0588808905512062e-06
1949,3.058426630429624e-06
1950,3.053918947313962e-06
1951,3.1352344649349106e-06
1952,3.194622682453233e-06
1953,3.2613320399832446e-06
1954,3.3209292788732066e-06
1955,3.4062996162122417e-06
1956,3.4249890826946024e-06
1957,3.4220164317438114e-06
1958,3.353101582043954e-06
1959,3.3245438381917277e-06
1960,3.3263189769578664e-06
1961,3.3155035583019654e-06
1962,3.2001265221229654e-06
1963,3.238058720203948e-06
1964,3.2412408797556836e-06
1965,3.247649114460468e-06
1966,3.2793119381884547e-06
1967,3.281373242966116e-06
1968,3.253985044336462e-06
1969,3.321591780799541e-06
1970,3.294659823690641e-06
1971,3.3479502690170193e-06
1972,3.4886319164278186e-06
1973,3.5228268708514018e-06
1974,3.5876289205459344e-06
1975,3.699716736654019e-06
1976,3.81977659864268e-06
1977,3.900562335599846e-06
1978,3.9537155121901634e-06
1979,3.965327031047698e-06
1980,4.026997593038166e-06
1981,4.061163313703478e-06
1982,4.1295753752430234e-06
1983,4.183526860807822e-06
1984,4.363916429740909e-06
1985,4.492443037764003e-06
1986,4.5630512691527e-06
1987,4.723340030717996e-06
1988,4.856070842963943e-06
1989,4.888221090888172e-06
1990,4.969201329783703e-06
1991,4.9528350375892065e-06
1992,5.034435292015717e-06
1993,5.181660721323819e-06
1994,5.167964575645913e-06
1995,5.2493422637261185e-06
1996,5.307668678662074e-06
1997,5.35810737086909e-06
1998,5.388757082463209e-06
1999,5.45446885423319e-06
2000,5.396142959008492e-06
2001,5.462905976725908e-06
2002,5.615857584676373e-06
2003,5.753985728266084e-06
2004,5.8737338934276655e-06
2005,5.882187646680645e-06
2006,5.724330614092261e-06
2007,5.755537586082937e-06
2008,5.710435159146852e-06
2009,5.568777396547375e-06
2010,5.617528196515715e-06
2011,5.598402367468225e-06
2012,5.7348469064371395e-06
2013,5.929214629369588e-06
2014,6.0504142831112925e-06
2015,6.147143137371001e-06
2016,6.275089617702179e-06
2017,6.2379576017216705e-06
2018,6.231186489458196e-06
2019,6.214648124114319e-06
