year,harry
1800,2.158635759030858e-08
1801,2.4541042620285226e-08
1802,2.0450868850237686e-08
1803,2.2638391986414978e-08
1804,4.4032728193802284e-08
1805,4.0927515345044544e-08
1806,7.279435010332236e-08
1807,7.472178951774464e-08
1808,7.084913646236504e-08
1809,7.084913646236504e-08
1810,7.319181971610078e-08
1811,5.6245730232059743e-08
1812,5.5034271108565595e-08
1813,2.575379059217247e-08
1814,2.382635117775018e-08
1815,2.5634242157528727e-08
1816,2.771028054634631e-08
1817,3.319366470577734e-08
1818,3.5560582542107766e-08
1819,5.019931594217399e-08
1820,4.839723352237765e-08
1821,5.2402238104320986e-08
1822,5.7449466263546715e-08
1823,6.604607819379485e-08
1824,5.7133496029442606e-08
1825,5.458014700516449e-08
1826,4.049744882296734e-08
1827,5.271662268618067e-08
1828,5.768195622733531e-08
1829,5.2633121226465714e-08
1830,4.7999149290132796e-08
1831,5.534731530230731e-08
1832,5.7154682256818235e-08
1833,5.4528420889710105e-08
1834,4.579497466953139e-08
1835,3.988721480092343e-08
1836,4.331776435963418e-08
1837,4.391062548490611e-08
1838,3.909077962914255e-08
1839,3.847205424075842e-08
1840,3.925589656513953e-08
1841,4.324708413605549e-08
1842,4.619540762616582e-08
1843,4.8223518892395334e-08
1844,4.917942979838179e-08
1845,4.7629367624527474e-08
1846,5.04279051532259e-08
1847,5.125718110272308e-08
1848,5.067218264035286e-08
1849,5.4453865163038376e-08
1850,5.710668560254817e-08
1851,5.7311502083783646e-08
1852,6.238909325669998e-08
1853,6.446147184289788e-08
1854,7.176337898532178e-08
1855,7.177126245697504e-08
1856,7.129678434937756e-08
1857,6.857495802949285e-08
1858,7.548833938894209e-08
1859,7.873865216976941e-08
1860,8.15975015809402e-08
1861,7.654447590052119e-08
1862,7.810655944240352e-08
1863,7.964616242718745e-08
1864,8.544736829207977e-08
1865,8.008278078770153e-08
1866,7.945512895243415e-08
1867,8.022771018951452e-08
1868,8.882145457229334e-08
1869,9.198222069731596e-08
1870,9.176747133616508e-08
1871,9.172457688626829e-08
1872,1.0032464712951748e-07
1873,1.0623924952467081e-07
1874,1.0629203777463253e-07
1875,1.0175238125092229e-07
1876,1.0263144543744471e-07
1877,1.1078769647708344e-07
1878,1.1237559200643383e-07
1879,1.1131384322230328e-07
1880,1.0723067893942633e-07
1881,1.0747961961702199e-07
1882,1.1003637366359596e-07
1883,1.1149074501710337e-07
1884,1.0735069569786252e-07
1885,1.0653193527332405e-07
1886,1.0676712390379959e-07
1887,1.065630164427083e-07
1888,1.1226902785210768e-07
1889,1.1376623579703196e-07
1890,1.178687430832984e-07
1891,1.1967466662099469e-07
1892,1.246051977789518e-07
1893,1.266366293098794e-07
1894,1.3414650469810242e-07
1895,1.428565933484346e-07
1896,1.5678759979209644e-07
1897,1.6221318840540073e-07
1898,1.681607670889207e-07
1899,1.6933365795271778e-07
1900,1.6982465110361643e-07
1901,1.706680998430394e-07
1902,1.6067588351883648e-07
1903,1.4793640852011386e-07
1904,1.411266136333974e-07
1905,1.354888417332794e-07
1906,1.3191767221444805e-07
1907,1.3037775963604353e-07
1908,1.2644742091489597e-07
1909,1.245783514442727e-07
1910,1.2440597580669938e-07
1911,1.2537054569098212e-07
1912,1.2416288492594113e-07
1913,1.2164434183757423e-07
1914,1.2042089585812781e-07
1915,1.190405589974424e-07
1916,1.19390952996972e-07
1917,1.1913929094069837e-07
1918,1.154062861782482e-07
1919,1.168365295305713e-07
1920,1.4255428888126126e-07
1921,1.47889280250573e-07
1922,1.6703227804068126e-07
1923,1.8143066731519347e-07
1924,1.8536010263200557e-07
1925,2.2022509885541046e-07
1926,2.2821236760656965e-07
1927,2.473935540235418e-07
1928,2.4658992612915297e-07
1929,2.319093701836599e-07
1930,2.2160239560824785e-07
1931,2.1962946610593853e-07
1932,1.9470160696398254e-07
1933,1.9237931171898837e-07
1934,1.593121408762142e-07
1935,1.7274015411723148e-07
1936,2.2780230324315198e-07
1937,2.4226619643741287e-07
1938,2.6140445389241253e-07
1939,2.919623288529952e-07
1940,2.928465749261834e-07
1941,2.918717224734532e-07
1942,2.879741032302263e-07
1943,2.416538588282232e-07
1944,2.502528835585898e-07
1945,2.3721836888463648e-07
1946,2.2528056068235207e-07
1947,2.431337285153339e-07
1948,2.7620669332658767e-07
1949,2.8025323014649726e-07
1950,2.901161073915708e-07
1951,2.6745765881384743e-07
1952,2.8665800755334203e-07
1953,2.8177430928215994e-07
1954,2.6959295951201057e-07
1955,2.490846944575813e-07
1956,2.430189474417992e-07
1957,2.3616325758471897e-07
1958,2.384865496196653e-07
1959,2.3492532972925672e-07
1960,2.289964230937715e-07
1961,2.396442551701382e-07
1962,2.328513813511433e-07
1963,2.3447106757755266e-07
1964,2.3571082254290688e-07
1965,2.4416230002900973e-07
1966,2.298077654521486e-07
1967,2.2273775966498632e-07
1968,2.2688685419325338e-07
1969,2.3639206452636635e-07
1970,2.4185132677497935e-07
1971,2.3656834002849791e-07
1972,2.399425998841512e-07
1973,2.325106395671485e-07
1974,2.210304208866936e-07
1975,2.0289335062833353e-07
1976,1.7152349889621682e-07
1977,1.5374717930529057e-07
1978,1.4008779203322774e-07
1979,1.1668587721455229e-07
1980,1.1014938244053546e-07
1981,1.1034522425948775e-07
1982,9.81961706868008e-08
1983,1.0399383601874693e-07
1984,9.9529571124484e-08
1985,1.0655808629118318e-07
1986,1.0566257405538895e-07
1987,1.0505642730354989e-07
1988,1.0170119273717709e-07
1989,1.0041635485029993e-07
1990,9.645045651041073e-08
1991,9.421665530291129e-08
1992,8.383395818814929e-08
1993,8.88818141626351e-08
1994,9.093370627916946e-08
1995,9.62238339801453e-08
1996,9.6212144537081e-08
1997,1.0494625460718712e-07
1998,1.0637720748718493e-07
1999,1.0908990739315933e-07
2000,1.0854650257994893e-07
2001,1.1411600959425933e-07
2002,1.2150094416288733e-07
2003,1.2815650965844076e-07
2004,1.252968126712923e-07
2005,1.438675779143393e-07
2006,1.5643082511879974e-07
2007,1.6486910884136057e-07
2008,1.7937601423260015e-07
2009,1.8038665773799168e-07
2010,1.9639563220152922e-07
2011,2.3360761604505698e-07
2012,2.408441852302141e-07
2013,2.428736922053888e-07
2014,2.4043303069122756e-07
2015,2.2909501394354136e-07
2016,2.2615351521640799e-07
2017,2.228988857192841e-07
2018,1.9084130826740874e-07
2019,1.7072332525458478e-07
