year,lupin
1800,2.0831643077201534e-08
1801,2.7573249639090135e-08
1802,3.886753378405198e-08
1803,3.842410478682723e-08
1804,4.0563538306059854e-08
1805,4.425547775862729e-08
1806,3.945666041512855e-08
1807,3.5242840772704246e-08
1808,2.7451458503183598e-08
1809,2.9570232992373998e-08
1810,2.5951509005242964e-08
1811,2.381207548601034e-08
1812,2.0120136033442903e-08
1813,2.5292844517212287e-08
1814,2.6016646234186932e-08
1815,3.123246689844856e-08
1816,3.6254225653310964e-08
1817,5.0573493329661035e-08
1818,5.933584747351363e-08
1819,7.153583680974407e-08
1820,7.499011798829867e-08
1821,8.138766866799025e-08
1822,7.850805389913213e-08
1823,5.837547296343766e-08
1824,4.3715156574007456e-08
1825,4.110875842907749e-08
1826,2.9766211590802934e-08
1827,2.5728673287111244e-08
1828,1.9304297081492094e-08
1829,2.0877948512877864e-08
1830,2.766125094057413e-08
1831,2.8579352725647108e-08
1832,2.824981163282051e-08
1833,3.1578113711207475e-08
1834,3.251454407303202e-08
1835,3.2824235647004637e-08
1836,3.401538339886656e-08
1837,3.0430166196383975e-08
1838,3.093632169485058e-08
1839,2.919774974178121e-08
1840,3.406539152349199e-08
1841,3.4046967657884256e-08
1842,3.5249299859937567e-08
1843,3.3754644286026244e-08
1844,3.41851306627307e-08
1845,3.885413590865028e-08
1846,5.195169881590443e-08
1847,5.0308368772432136e-08
1848,5.134454715362478e-08
1849,5.236475354917859e-08
1850,5.595159916335238e-08
1851,5.938629347009997e-08
1852,5.912108846928277e-08
1853,4.874979302777709e-08
1854,4.5227032024237294e-08
1855,4.66114062902534e-08
1856,4.980914702912287e-08
1857,5.1888210807403216e-08
1858,4.726081849680343e-08
1859,5.073029463176226e-08
1860,4.579907323229041e-08
1861,4.4500570847308807e-08
1862,4.376401514199253e-08
1863,3.674905941457902e-08
1864,3.4636173802076494e-08
1865,3.475243280450156e-08
1866,2.9809393556742437e-08
1867,3.195513085886757e-08
1868,3.184776379125001e-08
1869,2.9586211829674928e-08
1870,3.269790051417333e-08
1871,3.0746071085932924e-08
1872,3.055632420106187e-08
1873,3.017610669279033e-08
1874,3.102284499131461e-08
1875,3.4584810444065235e-08
1876,3.8351189398814056e-08
1877,3.664228768026792e-08
1878,3.546905905490608e-08
1879,3.7033624421058316e-08
1880,3.642439848152078e-08
1881,3.436474393936351e-08
1882,3.681070204208936e-08
1883,3.206777294500236e-08
1884,3.1106996851398046e-08
1885,3.1774239874136715e-08
1886,3.162850248372706e-08
1887,3.408856942753248e-08
1888,3.546269056187157e-08
1889,3.16672808610617e-08
1890,3.140344010229715e-08
1891,3.2632609757245386e-08
1892,3.586250712268273e-08
1893,3.8148718469902376e-08
1894,6.055065959742478e-08
1895,6.65927270152419e-08
1896,6.63895275262608e-08
1897,7.319767040111661e-08
1898,7.869100977180616e-08
1899,7.838733953998858e-08
1900,8.081667094269765e-08
1901,5.714640341888558e-08
1902,5.306574278409114e-08
1903,5.3385477879633724e-08
1904,4.7928518297015085e-08
1905,4.360481042908759e-08
1906,3.863885262538653e-08
1907,3.307854866209579e-08
1908,3.6042450801687664e-08
1909,3.352620911048884e-08
1910,3.463240386533276e-08
1911,3.426411789218621e-08
1912,3.290247490334812e-08
1913,3.380517427891456e-08
1914,3.376762590180858e-08
1915,2.920390456446447e-08
1916,3.132344618604423e-08
1917,3.085926181256582e-08
1918,3.214899330877026e-08
1919,3.1915375485271266e-08
1920,3.228274282816658e-08
1921,3.4579274554857875e-08
1922,3.5360993625285375e-08
1923,3.417407969306753e-08
1924,3.323733872256136e-08
1925,3.3061686467915156e-08
1926,3.581022970219497e-08
1927,3.7833496082027655e-08
1928,3.562896542876258e-08
1929,3.636932812055095e-08
1930,3.729910729483825e-08
1931,3.668112137842984e-08
1932,3.716730313994633e-08
1933,3.5416324349414804e-08
1934,3.29915690956893e-08
1935,3.434900592529695e-08
1936,3.327656195040163e-08
1937,3.1750815564026066e-08
1938,3.1214786438178114e-08
1939,2.8273087997782957e-08
1940,2.6678641010643593e-08
1941,2.6718995524025298e-08
1942,2.5681306731988636e-08
1943,2.585945400669841e-08
1944,2.568614628931495e-08
1945,2.536558112759784e-08
1946,2.5283350524318848e-08
1947,2.9082587766587105e-08
1948,2.930466383840472e-08
1949,2.881903528516107e-08
1950,2.864530352602352e-08
1951,2.8172986483403813e-08
1952,2.745327089469031e-08
1953,2.786609267145325e-08
1954,2.511109745536747e-08
1955,2.538618103033384e-08
1956,2.5782197456335e-08
1957,2.4856598557221332e-08
1958,2.6750345938353348e-08
1959,2.7444096265380073e-08
1960,2.782885744068153e-08
1961,2.6401413372972067e-08
1962,2.614772322471838e-08
1963,2.6356955982821872e-08
1964,2.794832784250697e-08
1965,2.685679158430178e-08
1966,2.7666969413888054e-08
1967,2.7888376052942476e-08
1968,2.9686476515118036e-08
1969,3.122865166460542e-08
1970,3.081067921430401e-08
1971,3.158643708494375e-08
1972,3.613534284495147e-08
1973,4.167296095504623e-08
1974,4.767243057455874e-08
1975,5.3438236185294434e-08
1976,6.351425544234449e-08
1977,7.405366072735628e-08
1978,7.451062497157831e-08
1979,7.485145303576246e-08
1980,7.504362134877088e-08
1981,7.298904794847008e-08
1982,7.311702684579099e-08
1983,6.768034767544253e-08
1984,6.89467033307015e-08
1985,7.175348163254317e-08
1986,8.122441132383886e-08
1987,8.62917798169097e-08
1988,9.964366195650395e-08
1989,1.0507402135674835e-07
1990,1.0938656507570548e-07
1991,1.047376818925321e-07
1992,1.078734673650875e-07
1993,9.965328067502404e-08
1994,9.089556891288858e-08
1995,9.723837481244248e-08
1996,8.962282852361828e-08
1997,8.583418318965284e-08
1998,7.971931432442553e-08
1999,7.316577312264729e-08
2000,6.96492783447411e-08
2001,7.043549388185966e-08
2002,4.958674283882049e-08
2003,4.744939679263942e-08
2004,4.3596514335117065e-08
2005,4.413705819875499e-08
2006,4.327282506924998e-08
2007,3.983584915902481e-08
2008,3.948247595531029e-08
2009,4.488966151175841e-08
2010,4.756262482276595e-08
2011,4.699482352472322e-08
2012,5.1850421353297604e-08
2013,5.3202230938203295e-08
2014,5.839724488103977e-08
2015,6.510597064643012e-08
2016,6.1356753328872e-08
2017,6.1536791070201e-08
2018,6.530560625606086e-08
2019,6.399506169429969e-08
